0,00
1,37
2,95
3,66
4,77
5,85
6,38
7,70
8,11
9,36
10,81
11,88
12,9
13,80
14,54
15,50
16,37
17,82
18,4
19,15
20,61
21,91
22,58
23,75
24,73
25,43
26,59
27,87
28,75
29,89
30,10
31,57
32,68
33,6
34,95
35,46
36,25
37,24
38,76
39,60
40,7
41,91
42,11
43,71
44,62
45,100
46,39
47,99
48,84
49,68
50,10
51,96
52,93
53,72
54,31
55,72
56,15
57,16
58,94
59,64
60,82
61,52
62,8
63,79
64,86
65,97
66,100
67,26
68,53
69,6
70,51
71,55
72,40
73,25
74,47
75,30
76,78
77,33
78,64
79,94
80,32
81,40
82,3
83,38
84,63
85,85
86,22
87,37
88,19
89,100
90,7
91,44
92,77
93,32
94,88
95,30
96,40
97,35
98,68
99,71
100,1
101,82
102,13
103,7
104,73
105,68
106,78
107,38
108,57
109,2
110,46
111,3
112,24
113,35
114,76
115,75
116,45
117,11
118,79
119,11
120,53
121,29
122,4
123,31
124,43
125,63
126,78
127,44
128,77
129,80
130,3
131,94
132,60
133,38
134,13
135,65
136,16
137,67
138,34
139,15
140,18
141,7
142,57
143,70
144,39
145,29
146,40
147,66
148,87
149,11
150,6
151,9
152,54
153,58
154,2
155,92
156,4
157,45
158,11
159,91
160,47
161,70
162,79
163,56
164,79
165,100
166,36
167,22
168,11
169,88
170,47
171,86
172,53
173,90
174,61
175,34
176,10
177,19
178,70
179,27
180,87
181,4
182,62
183,38
184,20
185,13
186,48
187,62
188,33
18,20
190,100
191,33
192,3
193,99
194,47
195,99
196,83
197,5
198,35
199,39
200,60
